model,benchmark,condition,bits,effective_bits,ece_lo,ece,ece_hi,delta_ece_lo,delta_ece,delta_ece_hi,slope_lo,slope,slope_hi,delta_slope_lo,delta_slope,delta_slope_hi,intercept_lo,intercept,intercept_hi,delta_intercept_lo,delta_intercept,delta_intercept_hi,brier_lo,brier,brier_hi,delta_brier_lo,delta_brier,delta_brier_hi
llama3.2-3b,arc_challenge,bf16,16,16.0,0.05297204142883421,0.07449212977290152,0.09565415582731364,,0.0,,0.5694779629408655,0.6836567695091178,0.8251274500925135,,0.0,,-0.6323222155415217,-0.455629079631668,-0.2850114273996145,,0.0,,0.14980563620991635,0.16381261369888947,0.1781877052013091,,0.0,
llama3.2-3b,arc_challenge,affine_b8_g64,8,8.5,0.05108358402699232,0.06747171115875246,0.09465090181678534,-0.01954969307780266,-0.007020418614149065,0.015453746203333106,0.5530761444309771,0.6669711829830209,0.8062226536450376,-0.05146580602835161,-0.016685586526096863,0.015898230019039446,-0.6355307111971248,-0.46100220580224766,-0.2858497840030215,-0.04737408879346159,-0.005373126170579667,0.04093264392601047,0.1501132645478141,0.16434035003331712,0.17953147340407793,-0.0015092024520408844,0.0005277363344276531,0.0025821886977659444
llama3.2-3b,arc_challenge,affine_b6_g64,6,6.501,0.0480035511404276,0.06053460288047789,0.09037170774266114,-0.025381519866734734,-0.013957526892423633,0.013270115463435641,0.5739048833664457,0.6830352841134931,0.8188700300001517,-0.05647384368118774,-0.0006214853956246769,0.0568839094596505,-0.5981532863136135,-0.4229843702183994,-0.24995084012946306,-0.04669387832074448,0.03264470941326858,0.10916619811010271,0.15257885517492611,0.1664751725024408,0.1811811451594183,-0.0010107352440062278,0.002662558803551318,0.006159639830887953
llama3.2-3b,arc_challenge,affine_b5_g64,5,5.501,0.07213219533413652,0.09243233129382136,0.11732618986293675,1.1840027570738544e-05,0.017940201520919838,0.037834328847378515,0.5209584824957898,0.6248696664576838,0.7554235750251782,-0.1320429012489837,-0.058787103051433975,0.010376397078924678,-0.9178868051322534,-0.7290547242384737,-0.548054207287728,-0.38476547641402353,-0.27342564460680574,-0.159873756256973,0.15247043956987527,0.1673533726111405,0.18274819224675176,-0.0021802497325190233,0.0035407589122510297,0.00881040239558766
llama3.2-3b,arc_challenge,affine_b4_g64,4,4.501,0.05837934130057693,0.06875723606348039,0.10262713129222392,-0.014866650597006117,-0.005734893709421138,0.026152079828828563,0.5097392553281868,0.6101659179519225,0.7237808137983717,-0.1786125951477686,-0.07349085155719526,0.02394120869551129,-0.6791683331191046,-0.4939758807803528,-0.3198859627574262,-0.18240593654095913,-0.03834680114868483,0.10517346864200788,0.1630088626302845,0.1776762161195246,0.19385153911656727,0.005756684946476105,0.01386360242063514,0.02243941295150606
llama3.2-3b,arc_challenge,affine_b3_g64,3,3.501,0.1371932131946087,0.1645074511170387,0.19279203817471866,0.06094429012611508,0.09001532134413719,0.12093387418091295,0.39652071580257553,0.4773145985784153,0.5719976414098226,-0.34954564615627637,-0.2063421709307025,-0.08107716410380988,-1.3886917372096748,-1.1836574066829866,-0.9859205868439203,-0.9429371197173999,-0.7280283270513186,-0.5138038638675179,0.20747017449009164,0.2250419706944111,0.24309569326325828,0.04482809537351255,0.06122935699552162,0.07827726889451053
llama3.2-3b,arc_challenge,affine_b2_g64,2,2.501,0.4880346841610968,0.5166910219490528,0.5448012717947365,0.40799939602836965,0.44219889217615127,0.47686702357605093,-0.18784883043115044,-0.054337959229240854,0.07356900614947874,-0.9330848928236818,-0.7379947287383587,-0.5667030082078612,-3.1200899784043985,-2.9060353863592248,-2.688734804773354,-2.725033209887355,-2.4504063067275568,-2.174631345170752,0.45612294227650296,0.4744957121391061,0.49291486964667836,0.28655437641675396,0.3106830984402166,0.33391195097744636
llama3.2-3b,mmlu,bf16,16,16.0,0.12147400928512217,0.1419261844754219,0.17202227833867068,,0.0,,0.46766557122478997,0.5560679375545274,0.6580246180576736,,0.0,,-1.0474656476507693,-0.8748333879690194,-0.7021087479868022,,0.0,,0.2119519574997912,0.22656481261083689,0.24223340337771673,,0.0,
llama3.2-3b,mmlu,affine_b8_g64,8,8.5,0.12255407749190923,0.14661661371588708,0.17437434822171924,-0.01229286996275187,0.0046904292404651715,0.015142762896418563,0.4420345319099743,0.5306279248791727,0.6263364659557412,-0.05693396818779637,-0.025440012675354784,0.004718308373986749,-1.0493182982516445,-0.8698895928507335,-0.6972050741380061,-0.04885659136847086,0.00494379511828591,0.05934031330797367,0.2147203759296072,0.2292875663131538,0.2452285215504443,8.802716640177595e-05,0.0027227537023169213,0.0053830341309679145
llama3.2-3b,mmlu,affine_b6_g64,6,6.501,0.12318225596547129,0.14576543566584588,0.1757133046090603,-0.013252439629286548,0.00383925119042397,0.01746804359704251,0.47157819647149546,0.5626553588725881,0.663909289306636,-0.03739570117135047,0.006587421318060671,0.05160267211354533,-1.071119941186851,-0.8920565837716702,-0.718879744983514,-0.1000157882872595,-0.017223195802650748,0.06358358991072062,0.21370350271688482,0.22784236116336046,0.2436449569063401,-0.003245860478502884,0.001277548552523572,0.005562225906564921
llama3.2-3b,mmlu,affine_b5_g64,5,5.501,0.14360989233478905,0.1693121252655983,0.19671668884307145,0.004655582831799967,0.027385940790176394,0.04188672240003947,0.4718799805603044,0.5563309952561328,0.6565373113471763,-0.06299695575860595,0.0002630577016053959,0.06181258178393198,-1.2747427971644532,-1.0971904352614719,-0.9293828079480385,-0.3433291491995944,-0.22235704729245243,-0.09909679875914984,0.21263744726258027,0.22791692502910565,0.24450583462187048,-0.005553223051939555,0.0013521124182687694,0.008615939810990556
llama3.2-3b,mmlu,affine_b4_g64,4,4.501,0.12212027872130275,0.14408845826983455,0.17526917570978398,-0.0212683200478554,0.002162273794412639,0.026658283245563526,0.4661670717266108,0.5588681486137186,0.6596445024845785,-0.08289088433147558,0.002800211059191149,0.09259905713621788,-1.0065125623025633,-0.843833125026568,-0.6758796235040876,-0.11905604966547569,0.031000262942451395,0.1908661796920714,0.2166541676215983,0.23091306801799774,0.2461335925556505,-0.00637281372560306,0.004348255407160856,0.014100043896117733
llama3.2-3b,mmlu,affine_b3_g64,3,3.501,0.1767225768052042,0.20034429353475572,0.23294501666203143,0.027470856177061808,0.05841810905933381,0.09030851813480258,0.4338922387752078,0.5144749077082796,0.6011951932146496,-0.15347188597332784,-0.0415930298462478,0.06816107425215552,-1.3552555660269592,-1.1669532146325938,-0.9973082848627042,-0.4992712298337725,-0.2921198266635744,-0.08638812358673811,0.24633899255151423,0.2617304929631417,0.2783782814554621,0.018656305698714265,0.03516568035230483,0.05283266671105377
