model,benchmark,condition,mean_conf_incorrect,mean_conf_correct,overconfidence_rate,overconfidence_rate_lo,overconfidence_rate_hi,overconfidence_rate_n_qualifying,delta_intercept_lo,delta_intercept,delta_intercept_hi,delta_conf_incorrect_lo,delta_conf_incorrect,delta_conf_incorrect_hi
llama3.2-3b,arc_challenge,bf16,0.6176104116730574,0.8380512748159165,0.09624413145539906,0.06959920999496515,0.12445083932853714,426,,0.0,,,0.0,
llama3.2-3b,arc_challenge,affine_b8_g64,0.6227419266188648,0.8394610433521883,0.09324009324009325,0.06735570970029935,0.12085644491252705,429,-0.04737408879346159,-0.005373126170579667,0.04093264392601047,-0.0006128729127049898,0.005131514945807436,0.011112295187981392
llama3.2-3b,arc_challenge,affine_b6_g64,0.6172455583270445,0.8312966259806803,0.09178743961352658,0.06505929547787562,0.11971830985915492,414,-0.04669387832074448,0.03264470941326858,0.10916619811010271,-0.010180476371325492,-0.00036485334601288333,0.009446474540089954
llama3.2-3b,arc_challenge,affine_b5_g64,0.6433540913228696,0.8641153925547674,0.10450819672131148,0.0765952654782442,0.13235439432690072,488,-0.38476547641402353,-0.27342564460680574,-0.159873756256973,0.011493424781144304,0.025743679649812168,0.03992230211138215
llama3.2-3b,arc_challenge,affine_b4_g64,0.6381043937762041,0.8290812532756139,0.10194174757281553,0.07415590308058548,0.13349529847643735,412,-0.18240593654095913,-0.03834680114868483,0.10517346864200788,0.0004344759022357814,0.02049398210314668,0.03978591713622225
llama3.2-3b,arc_challenge,affine_b3_g64,0.6827391775754782,0.85090655083641,0.17488789237668162,0.14102494577006508,0.2111425595865851,446,-0.9429371197173999,-0.7280283270513186,-0.5138038638675179,0.03926534325242382,0.06512876590242078,0.09319873082221763
llama3.2-3b,arc_challenge,affine_b2_g64,0.7437785985620365,0.7299947743969304,0.7882882882882883,0.7313416398185285,0.8418665850673195,222,-2.725033209887355,-2.4504063067275568,-2.174631345170752,0.0989484775384856,0.12616818688897913,0.15253826361220593
llama3.2-3b,arc_challenge,affine_b4_g32,0.6464864787281743,0.8578316477957291,0.10920770877944326,0.08158883581446298,0.13964763444986564,467,-0.424802776569773,-0.28050683441571356,-0.14066475305464107,0.010104306949544622,0.028876067055116916,0.04602616546881454
llama3.2-3b,arc_challenge,affine_b4_g128,0.6170574570357993,0.805688462234958,0.0856353591160221,0.05763688760806916,0.11568176506830398,362,-0.0893377144470276,0.07435094387981861,0.2293196527251136,-0.021381173601828635,-0.0005529546372581295,0.02045248423112747
llama3.2-3b,arc_challenge,mxfp4_b4_g32,0.6508580691452268,0.8408288155731402,0.13053613053613053,0.10046130223745556,0.16465033471015525,429,-0.4085708008851046,-0.24166281266972223,-0.07291935600080837,0.01101615219315381,0.0332476574721694,0.05650647480074761
llama3.2-3b,arc_challenge,mixed_2_6,0.6705540476226005,0.6844063120913673,0.6573426573426573,0.5793118466898955,0.7357424812030074,143,-1.8705089653297837,-1.6058398935380285,-1.3363197033546925,0.024461500489464817,0.0529436359495431,0.08128914178552325
