model,benchmark,recipe,component_a,component_b,recipe_ece_lo,recipe_ece,recipe_ece_hi,component_a_ece,component_b_ece,within_range
llama3.2-3b,arc_challenge,mixed_2_6,affine_b2_g64,affine_b6_g64,0.3603158716894686,0.3885157952606679,0.41712631106898196,0.5166910219490528,0.06053460288047789,True
llama3.2-3b,arc_challenge,mixed_3_4,affine_b3_g64,affine_b4_g64,0.1018434268087149,0.12105475994944574,0.15121083025112747,0.1645074511170387,0.06875723606348039,True
llama3.2-3b,arc_challenge,mixed_3_6,affine_b3_g64,affine_b6_g64,0.08161731277629733,0.1023571529686451,0.1292751219302416,0.1645074511170387,0.06053460288047789,True
llama3.2-3b,arc_challenge,mixed_4_6,affine_b4_g64,affine_b6_g64,0.047226286710053696,0.05947907292842862,0.08965999704375861,0.06875723606348039,0.06053460288047789,True
llama3.2-3b,mmlu,mixed_2_6,affine_b2_g64,affine_b6_g64,0.35599059369042524,0.3866629720330239,0.4162933786630631,0.46345459720492366,0.14576543566584588,True
llama3.2-3b,mmlu,mixed_3_4,affine_b3_g64,affine_b4_g64,0.14327225120961665,0.1649301774799824,0.1963206824377179,0.20034429353475572,0.14408845826983455,True
llama3.2-3b,mmlu,mixed_3_6,affine_b3_g64,affine_b6_g64,0.1378723556481302,0.16362195846438413,0.1932818275235593,0.20034429353475572,0.14576543566584588,True
llama3.2-3b,mmlu,mixed_4_6,affine_b4_g64,affine_b6_g64,0.11683211215958,0.13897736290097235,0.16789608429968353,0.14408845826983455,0.14576543566584588,True
qwen2.5-1.5b,arc_challenge,mixed_2_6,affine_b2_g64,affine_b6_g64,0.4256518521934748,0.4568264325857163,0.48521504028961066,0.4982413705587388,0.11924347516894342,True
qwen2.5-1.5b,arc_challenge,mixed_3_4,affine_b3_g64,affine_b4_g64,0.1326064010284841,0.15693354418873792,0.18926242206320162,0.14918713685870172,0.1363401757478714,True
qwen2.5-1.5b,arc_challenge,mixed_3_6,affine_b3_g64,affine_b6_g64,0.05864294638410211,0.07427251741290095,0.10727105540707706,0.14918713685870172,0.11924347516894342,False
qwen2.5-1.5b,arc_challenge,mixed_4_6,affine_b4_g64,affine_b6_g64,0.10816384677439929,0.131573277503252,0.15613085607215763,0.1363401757478714,0.11924347516894342,True
qwen2.5-1.5b,mmlu,mixed_2_6,affine_b2_g64,affine_b6_g64,0.45419389614015815,0.4828048119544983,0.510899934553355,0.48607811447978017,0.19528643929958348,True
qwen2.5-1.5b,mmlu,mixed_3_4,affine_b3_g64,affine_b4_g64,0.13699885466694836,0.16031260204315187,0.1913969978787005,0.14755513536930084,0.20235422641038897,True
qwen2.5-1.5b,mmlu,mixed_3_6,affine_b3_g64,affine_b6_g64,0.10667184573709965,0.1282444764971733,0.1597125698365271,0.14755513536930084,0.19528643929958348,True
qwen2.5-1.5b,mmlu,mixed_4_6,affine_b4_g64,affine_b6_g64,0.17689198509007695,0.20383401674032214,0.23258623449578883,0.20235422641038897,0.19528643929958348,True
qwen2.5-3b,arc_challenge,mixed_2_6,affine_b2_g64,affine_b6_g64,0.2069069783747196,0.23338760152459145,0.261745023470372,0.2535380827784538,0.13377409851551053,True
qwen2.5-3b,arc_challenge,mixed_3_4,affine_b3_g64,affine_b4_g64,0.3654051401250065,0.3939457370340824,0.4238618575580419,0.43389771628379825,0.12445986104011537,True
qwen2.5-3b,arc_challenge,mixed_3_6,affine_b3_g64,affine_b6_g64,0.4283898453049362,0.4560050461888314,0.48382150272727015,0.43389771628379825,0.13377409851551053,True
qwen2.5-3b,arc_challenge,mixed_4_6,affine_b4_g64,affine_b6_g64,0.10297730933427814,0.1252246768176556,0.14837606962397693,0.12445986104011537,0.13377409851551053,True
qwen2.5-3b,mmlu,mixed_2_6,affine_b2_g64,affine_b6_g64,0.2198722871311009,0.24545590046048166,0.27268470332399003,0.2919013492763043,0.24715292558073995,True
qwen2.5-3b,mmlu,mixed_3_4,affine_b3_g64,affine_b4_g64,0.3353910822100937,0.3634146003723145,0.39322281946018334,0.4218122831285,0.19218908482789998,True
qwen2.5-3b,mmlu,mixed_3_6,affine_b3_g64,affine_b6_g64,0.4001987842775882,0.43040419235825544,0.4602430042281747,0.4218122831285,0.24715292558073995,True
qwen2.5-3b,mmlu,mixed_4_6,affine_b4_g64,affine_b6_g64,0.18339284951165316,0.2101123674511909,0.23662428095638757,0.19218908482789998,0.24715292558073995,True
