model,benchmark,condition,effective_bits,accuracy,ece_lo,ece,ece_hi
qwen2.5-0.5b,arc_challenge,bf16,16.0,0.518,0.1748034407228231,0.19998272150754934,0.2321659404136241
qwen2.5-0.5b,arc_challenge,affine_b8_g64,8.501,0.515,0.17594283096343277,0.20225914078950885,0.23361188700646163
qwen2.5-0.5b,arc_challenge,affine_b6_g64,6.501,0.519,0.14387105760872362,0.1628709398210049,0.1997237764619291
qwen2.5-0.5b,arc_challenge,affine_b5_g64,5.502,0.477,0.2120482426680625,0.23849264910817153,0.26953695289567114
qwen2.5-0.5b,arc_challenge,affine_b4_g64,4.502,0.451,0.20569113291651006,0.23418716150522229,0.2646369047425687
qwen2.5-0.5b,arc_challenge,affine_b3_g64,3.502,0.334,0.22501086394190792,0.25221661865711215,0.28194384622275825
qwen2.5-0.5b,arc_challenge,affine_b2_g64,2.502,0.24,0.47538308775052435,0.5028785872757435,0.53296686161533
qwen2.5-0.5b,arc_challenge,affine_b4_g32,5.002,0.475,0.2500472554057837,0.2763963190615178,0.3069959484361112
qwen2.5-0.5b,arc_challenge,affine_b4_g128,4.252,0.441,0.21781547915861008,0.24654218950867654,0.27784025067836055
qwen2.5-0.5b,arc_challenge,mxfp4_b4_g32,4.252,0.418,0.1628001198500395,0.19075555965304378,0.22267690657898787
qwen2.5-0.5b,arc_challenge,mixed_2_6,2.937,0.25,0.413640880215913,0.4432996686697007,0.47041160431802276
qwen2.5-0.5b,arc_challenge,mixed_3_4,3.61,0.354,0.3152103439226747,0.3446337803900242,0.37568554902225737
qwen2.5-0.5b,arc_challenge,mixed_3_6,3.828,0.376,0.3200899376831949,0.3471007932126522,0.3781760148972273
qwen2.5-0.5b,arc_challenge,mixed_4_6,4.719,0.462,0.15889001965671778,0.18691620948910714,0.21740594543963668
qwen2.5-0.5b,mmlu,bf16,16.0,0.436,0.1803866841301322,0.20683883646130563,0.23701819421947004
qwen2.5-0.5b,mmlu,affine_b8_g64,8.501,0.432,0.1872386946953833,0.21201552414894104,0.24366962308958176
qwen2.5-0.5b,mmlu,affine_b6_g64,6.501,0.434,0.15474986341223124,0.17796660101413725,0.20923970998823643
qwen2.5-0.5b,mmlu,affine_b5_g64,5.502,0.433,0.2023365631081164,0.22596021506190303,0.25852118417397146
qwen2.5-0.5b,mmlu,affine_b4_g64,4.502,0.408,0.238323944901675,0.2685359602868557,0.2999824460119008
qwen2.5-0.5b,mmlu,affine_b3_g64,3.502,0.298,0.272720846233517,0.3012456553578377,0.33141181682646276
qwen2.5-0.5b,mmlu,affine_b2_g64,2.502,0.249,0.4525284917742015,0.4825792275667191,0.5105680016353726
qwen2.5-0.5b,mmlu,affine_b4_g32,5.002,0.424,0.24542423733696347,0.27508074820041656,0.30506879713833335
qwen2.5-0.5b,mmlu,affine_b4_g128,4.252,0.386,0.21694514055475597,0.24486066606640816,0.27324007715210313
qwen2.5-0.5b,mmlu,mxfp4_b4_g32,4.252,0.356,0.2243943568646908,0.25054902151227004,0.28284275571182366
qwen2.5-0.5b,mmlu,mixed_2_6,2.937,0.245,0.4109588408268988,0.43775823959708215,0.46682397339567533
qwen2.5-0.5b,mmlu,mixed_3_4,3.61,0.328,0.32093883471488954,0.3485367089509964,0.3781965000018478
qwen2.5-0.5b,mmlu,mixed_3_6,3.828,0.342,0.3314648551337421,0.3569953836202621,0.3912524604201316
qwen2.5-0.5b,mmlu,mixed_4_6,4.719,0.414,0.19637024904936554,0.2225837568640709,0.25378282087817783
